Ticker,Close_Price
AALI.JK,5950.0
ABBA.JK,42.0
ABDA.JK,
ABMM.JK,3180.0
ACES.JK,535.0
ACST.JK,91.0
ADES.JK,10625.0
ADHI.JK,276.0
ADMF.JK,8825.0
ADMG.JK,116.0
ADRO.JK,1915.0
AGII.JK,1235.0
AGRO.JK,234.0
AGRS.JK,68.0
AHAP.JK,74.0
AIMS.JK,292.0
AISA.JK,137.0
AKKU.JK,24.0
AKPI.JK,610.0
AKRA.JK,1250.0
AKSI.JK,308.0
ALDO.JK,490.0
ALKA.JK,306.0
ALMI.JK,
ALTO.JK,16.0
AMAG.JK,390.0
AMFG.JK,3700.0
AMIN.JK,142.0
AMRT.JK,2410.0
ANJT.JK,1745.0
ANTM.JK,2550.0
APEX.JK,97.0
APIC.JK,1180.0
APII.JK,168.0
APLI.JK,580.0
APLN.JK,93.0
ARGO.JK,615.0
ARII.JK,282.0
ARNA.JK,620.0
ARTA.JK,1940.0
ARTI.JK,
ARTO.JK,1930.0
ASBI.JK,418.0
ASDM.JK,505.0
ASGR.JK,855.0
ASII.JK,4820.0
ASJT.JK,105.0
ASMI.JK,17.0
ASRI.JK,142.0
ASRM.JK,302.0
ASSA.JK,700.0
ATIC.JK,400.0
AUTO.JK,2080.0
BABP.JK,54.0
BACA.JK,132.0
BAJA.JK,85.0
BALI.JK,1225.0
BAPA.JK,50.0
BATA.JK,50.0
BAYU.JK,1375.0
BBCA.JK,9275.0
BBHI.JK,745.0
BBKP.JK,71.0
BBLD.JK,670.0
BBMD.JK,2110.0
BBNI.JK,4500.0
BBRI.JK,4270.0
BBRM.JK,77.0
BBTN.JK,1240.0
BBYB.JK,262.0
BCAP.JK,72.0
BCIC.JK,
BCIP.JK,51.0
BDMN.JK,2420.0
BEKS.JK,26.0
BEST.JK,92.0
BFIN.JK,900.0
BGTG.JK,81.0
BHIT.JK,28.0
BIKA.JK,
BIMA.JK,46.0
BINA.JK,4350.0
BIPI.JK,81.0
BIPP.JK,35.0
BIRD.JK,1870.0
BISI.JK,965.0
BJBR.JK,875.0
BJTM.JK,550.0
BKDP.JK,31.0
BKSL.JK,122.0
BKSW.JK,60.0
BLTA.JK,20.0
BLTZ.JK,
BMAS.JK,484.0
BMRI.JK,5325.0
BMSR.JK,252.0
BMTR.JK,138.0
BNBA.JK,820.0
BNBR.JK,32.0
BNGA.JK,1800.0
BNII.JK,202.0
BNLI.JK,2230.0
BOLT.JK,1160.0
BPFI.JK,406.0
BPII.JK,555.0
BRAM.JK,5925.0
BRMS.JK,360.0
BRNA.JK,700.0
BRPT.JK,860.0
BSDE.JK,860.0
BSIM.JK,855.0
BSSR.JK,4370.0
BSWD.JK,
BTEK.JK,6.0
BTEL.JK,
BTON.JK,422.0
BTPN.JK,2230.0
BUDI.JK,208.0
BUKK.JK,850.0
BULL.JK,113.0
BUMI.JK,127.0
BUVA.JK,66.0
BVIC.JK,83.0
BWPT.JK,62.0
BYAN.JK,19975.0
CANI.JK,32.0
CASS.JK,1920.0
CEKA.JK,2550.0
CENT.JK,98.0
CFIN.JK,326.0
CINT.JK,176.0
CITA.JK,4200.0
